Gene,logFC,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,consistent_direction
IGLV1-40,1.0300066666666667,1.3320500000000002,0.6895800000000001,1.06839,6.40691137208936,0.00011686041406690433,0.965529473937469,0.031241962203170215,True
LOC100128751,-0.9083133333333335,-1.1320200000000002,-0.7713000000000001,-0.8216200000000002,-6.2658169400923915,0.00013835722575859227,0.965529473937469,0.01507245340000758,True
PLEKHM1P,-0.9914299999999999,-0.7237800000000001,-0.86894,-1.38157,-6.039189447274476,0.00018243329318298857,0.965529473937469,0.03819423296676226,True
FAM91A1,-0.8152300000000002,-0.9767299999999999,-0.7810000000000006,-0.6879600000000003,-5.791641339713532,0.0002486777501531054,0.965529473937469,0.010721747111476871,True
LOC100131174,0.7479266666666667,0.77823,0.7689700000000002,0.6965799999999999,5.51795951465434,0.00035363757857710324,0.965529473937469,0.0011889247089366215,True
MIR3689E,-1.2726666666666666,-1.23657,-2.0104299999999995,-0.571,-5.371374420319822,0.0004288593444767458,0.965529473937469,0.09226172517401222,True
UBE2Q2L,0.7604733333333332,0.67357,0.9459599999999997,0.6618900000000001,5.362135284803357,0.0004341480244414757,0.965529473937469,0.014567981176902427,True
HIST1H4D,-1.0037199999999997,-0.48916999999999966,-1.47742,-1.0445699999999993,-5.278778581496178,0.00048517554530858997,0.965529473937469,0.07248107418995722,True
SLED1,-0.7127033333333331,-0.7866599999999999,-0.6368199999999997,-0.7146299999999997,-5.220684895115842,0.000524549439552069,0.965529473937469,0.003665045549706118,True
TOMM40L,-0.7035966666666665,-0.6591200000000002,-0.5892899999999996,-0.8623799999999999,-5.0133517954460345,0.0006957242833976333,0.965529473937469,0.013283553758556353,True
UBE2A,-0.8000200000000001,-0.84457,-0.44582999999999995,-1.1096600000000003,-4.925371187005444,0.000785769584717805,0.965529473937469,0.05352525794367535,True
MIR4731,0.7924266666666666,0.8453799999999999,1.12817,0.40373000000000014,4.738652466179695,0.0010211456958688614,0.965529473937469,0.06404111607281124,True
LINC01094,-0.93786,-1.56087,-0.67659,-0.57612,-4.708368315910005,0.0010659849023060659,0.965529473937469,0.0955881838107051,True
PHC1,-0.6829833333333335,-0.49818000000000007,-0.6578100000000002,-0.89296,-4.7010445648356365,0.00107714255352987,0.965529473937469,0.02704414451682622,True
